,No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
0,1,A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,35.81B,26.67,121.13,-0.08%,3939930
1,2,AAL,American Airlines Group Inc.,Industrials,Airlines,USA,10.87B,6.24,16.48,-1.02%,22625167
2,3,AAPL,Apple Inc.,Technology,Consumer Electronics,USA,2925.70B,31.42,184.92,-0.59%,95747006
3,4,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,239.75B,32.71,138.64,2.02%,14593437
4,5,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,36.83B,23.51,183.01,0.62%,2000327
5,6,ABEV,Ambev S.A.,Consumer Defensive,Beverages - Brewers,Brazil,49.75B,16.01,3.09,-1.28%,20356797
6,7,ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,USA,81.75B,42.88,128.68,0.65%,6883826
7,8,ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,182.62B,32.19,106.2,1.12%,10012623
8,9,ACGL,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,26.13B,13.71,71.16,1.44%,3296161
9,10,ACGLN,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,26.50B,4.18,19.63,-0.10%,28769
10,11,ACI,"Albertsons Companies, Inc.",Consumer Defensive,Grocery Stores,USA,12.19B,9.49,21.37,0.61%,13976210
11,12,ACM,AECOM,Industrials,Engineering & Construction,USA,12.00B,28.58,86.67,0.42%,2080228
12,13,ACN,Accenture plc,Technology,Information Technology Services,Ireland,204.47B,29.41,319.54,-1.31%,5259178
13,14,ADBE,Adobe Inc.,Technology,Software - Infrastructure,USA,225.18B,47.28,495.18,0.87%,13324076
14,15,ADI,"Analog Devices, Inc.",Technology,Semiconductors,USA,95.10B,26.69,188.36,-0.69%,6886920
15,16,ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,USA,40.61B,9.47,75.48,1.23%,5522403
16,17,ADP,"Automatic Data Processing, Inc.",Industrials,Staffing & Employment Services,USA,91.29B,28.27,221.32,0.16%,3335514
